Restaurant_Item_Name,Food_Category,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
McDonald's McCafe Mocha w/ Whole Milk & Chocolate Drizzle Medium,Beverages,370.0,11.0,6.0,0.0,30.0,190.0,56.0,12.0,51.0,2.0
McDonald's McCafe Mocha w/ Whole Milk & Chocolate Drizzle Large,Beverages,460.0,14.0,8.0,0.0,40.0,240.0,68.0,15.0,61.0,2.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Large,Beverages,430.0,14.0,8.0,0.0,40.0,260.0,61.0,15.0,55.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk Medium,Beverages,260.0,1.0,0.0,0.0,5.0,210.0,50.0,12.0,46.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk Large,Beverages,320.0,1.0,0.5,0.0,10.0,260.0,62.0,16.0,56.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk Medium,Beverages,210.0,0.5,0.0,0.0,5.0,140.0,42.0,9.0,39.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk & Caramel Drizzle Medium,Beverages,270.0,8.0,4.5,0.0,25.0,170.0,40.0,8.0,36.0,0.0
McDonald's McCafe Caramel Mocha w/ Whole Milk & Caramel Drizzle Large,Beverages,390.0,12.0,7.0,0.0,35.0,240.0,59.0,12.0,53.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk & Caramel Drizzle Small,Beverages,160.0,0.5,0.0,0.0,5.0,130.0,32.0,7.0,29.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk & Caramel Drizzle Medium,Beverages,200.0,0.5,0.0,0.0,5.0,160.0,40.0,9.0,36.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk & Caramel Drizzle Large,Beverages,300.0,1.0,0.5,0.0,5.0,240.0,59.0,13.0,54.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk & Chocolate Drizzle Small,Beverages,320.0,11.0,6.0,0.0,30.0,180.0,46.0,11.0,43.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk & Caramel Drizzle Small,Beverages,210.0,7.0,3.5,0.0,20.0,135.0,32.0,7.0,28.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk Medium,Beverages,190.0,0.5,0.0,0.0,5.0,160.0,38.0,9.0,35.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk Small,Beverages,150.0,0.5,0.0,0.0,5.0,125.0,30.0,7.0,28.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Large,Beverages,380.0,12.0,7.0,0.0,35.0,240.0,57.0,12.0,52.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk Whipped Cream & Caramel Drizzle Medium,Beverages,260.0,4.5,3.0,0.0,20.0,170.0,46.0,10.0,40.0,0.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Medium,Beverages,340.0,11.0,6.0,0.0,30.0,210.0,50.0,12.0,45.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk Whipped Cream & Caramel Drizzle Large,Beverages,360.0,5.0,3.0,0.0,20.0,250.0,65.0,14.0,57.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Small,Beverages,270.0,9.0,5.0,0.0,25.0,170.0,40.0,9.0,34.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Chocolate Drizzle Medium,Beverages,280.0,8.0,4.5,0.0,25.0,150.0,43.0,9.0,39.0,1.0
McDonald's McCafe Strawberry Shake w/ Whipped Topping Small,Beverages,510.0,15.0,10.0,1.0,60.0,170.0,64.0,11.0,72.0,0.0
McDonald's McCafe Strawberry Shake w/ Whipped Topping Medium,Beverages,620.0,18.0,11.0,1.0,70.0,210.0,77.0,14.0,88.0,0.0
McDonald's McCafe Strawberry Shake w/ Whipped Topping Large,Beverages,830.0,23.0,15.0,1.0,95.0,290.0,104.0,19.0,121.0,0.0
McDonald's McCafe Chocolate Shake w/ Whipped Topping Small,Beverages,530.0,15.0,10.0,1.0,60.0,240.0,66.0,12.0,72.0,1.0
McDonald's McCafe Chocolate Shake w/ Whipped Topping Medium,Beverages,630.0,18.0,11.0,1.0,70.0,290.0,79.0,14.0,86.0,1.0
McDonald's McCafe Chocolate Shake w/ Whipped Topping Large,Beverages,840.0,23.0,15.0,1.0,90.0,400.0,107.0,19.0,118.0,2.0
McDonald's McCafe Vanilla Shake w/ Whipped Topping Small,Beverages,500.0,15.0,9.0,1.0,60.0,160.0,62.0,11.0,59.0,0.0
